action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,12625963,[],CHEMBL2318156,Inhibition of recombinant His6-tagged c-Myc bHLH-ZIP domain (353 to 437 amino acid residues) (unknown origin) assessed as disruption of Myc-Max dimerization by electrophoretic mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1,,,CHEMBL2311297,Bioorg Med Chem Lett,2013,"{'bei': '14.93', 'le': '0.28', 'lle': '1.91', 'sei': '3.41'}",CHEMBL1336889,,CHEMBL1336889,4.48,0,http://www.openphacts.org/units/Nanomolar,1842440,=,1,1,=,,IC50,nM,,33000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,33.0
,,12625974,[],CHEMBL2318156,Inhibition of recombinant His6-tagged c-Myc bHLH-ZIP domain (353 to 437 amino acid residues) (unknown origin) assessed as disruption of Myc-Max dimerization by electrophoretic mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=[N+]([O-])c1ccc(Nc2ccccc2-c2ccccc2)c2nonc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311297,Bioorg Med Chem Lett,2013,,CHEMBL2312756,,CHEMBL2312756,,0,http://www.openphacts.org/units/Nanomolar,1842448,=,1,1,=,,IC50,nM,,146000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,146.0
,,12724301,[],CHEMBL2353444,Inhibition of Myc signaling pathway in human HeLa cells assessed as inhibition of PMA induced luciferase treated 30 mins before induction,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,,,CHEMBL2346506,J Nat Prod,2013,"{'bei': '18.50', 'le': '0.34', 'lle': '1.25', 'sei': '6.96'}",CHEMBL165,RESVERATROL,CHEMBL165,4.22,0,http://www.openphacts.org/units/Nanomolar,1874349,=,1,1,=,,IC50,nM,,60000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,60.0
,,12724334,[],CHEMBL2353444,Inhibition of Myc signaling pathway in human HeLa cells assessed as inhibition of PMA induced luciferase treated 30 mins before induction,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(/C=C\c2ccc(OC)c(OC)c2)cc(OC)c1,,,CHEMBL2346506,J Nat Prod,2013,"{'bei': '14.06', 'le': '0.26', 'lle': '0.33', 'sei': '11.44'}",CHEMBL1172104,"(Z)-3,4,3',5'-TETRAMETHOXYSTILBENE",CHEMBL1172104,4.22,0,http://www.openphacts.org/units/Nanomolar,1875909,=,1,1,=,,IC50,nM,,60000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,60.0
,,14538606,[],CHEMBL3223392,Inhibition of c-MYC in human HL60 cells by chemiluminescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)c1ccc(/C=C2\SC(=S)N(CN3CCCCC3)C2=O)cc1,,,CHEMBL3217750,Medchemcomm,2012,"{'bei': '12.59', 'le': '0.26', 'lle': '0.09', 'sei': '19.27'}",CHEMBL3222133,,CHEMBL3222133,4.54,0,http://www.openphacts.org/units/Nanomolar,2077754,=,1,1,=,,IC50,nM,,29000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,29.0
,,18671171,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3cc[n+]([O-])cc3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,,CHEMBL4242611,,CHEMBL4242611,,0,http://www.openphacts.org/units/Nanomolar,3101036,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,100.0
,,18671179,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3ccccc3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,,CHEMBL4248050,,CHEMBL4248050,,0,http://www.openphacts.org/units/Nanomolar,3101035,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,100.0
,,18671187,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3ccco3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '14.07', 'le': '0.25', 'lle': '1.11', 'sei': '4.87'}",CHEMBL4248559,,CHEMBL4248559,5.16,0,http://www.openphacts.org/units/Nanomolar,3101034,=,1,1,=,,IC50,nM,,7000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,7.0
,Not Determined,18671195,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1cccc(-c2ccco2)n1,,,CHEMBL4229470,Bioorg Med Chem,2018,,CHEMBL4239313,,CHEMBL4239313,,0,,3101033,,1,0,,,IC50,,,,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,,,,
,,18671209,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1cc(-c2ccc(C(N)=O)cc2)ccn1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '22.40', 'le': '0.40', 'lle': '3.28', 'sei': '6.27'}",CHEMBL4243533,,CHEMBL4243533,5.00,0,http://www.openphacts.org/units/Nanomolar,3101032,=,1,1,=,,IC50,nM,,10000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,10.0
