molecule_chembl_id,canonical_smiles,standard_value
CHEMBL1336889,O=C(O)c1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1,33000.0
CHEMBL2312756,O=[N+]([O-])c1ccc(Nc2ccccc2-c2ccccc2)c2nonc12,146000.0
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,60000.0
CHEMBL1172104,COc1cc(/C=C\c2ccc(OC)c(OC)c2)cc(OC)c1,60000.0
CHEMBL3222133,CC(C)c1ccc(/C=C2\SC(=S)N(CN3CCCCC3)C2=O)cc1,29000.0
CHEMBL4242611,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3cc[n+]([O-])cc3)n2)cc1,100000.0
CHEMBL4248050,COc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3ccccc3)n2)cc1,100000.0
CHEMBL4248559,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3ccco3)n2)cc1,7000.0
CHEMBL4243533,N#Cc1cc(-c2ccc(C(N)=O)cc2)ccn1,10000.0
CHEMBL4250683,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3cccc(F)c3)n2)cc1,100000.0
CHEMBL4240576,N#Cc1ccc(-c2cc(-c3ccc(C(=O)NN)cc3)cc(-c3ccco3)n2)cc1,100000.0
CHEMBL4246868,CS(=O)(=O)NC(=O)c1ccc(-c2cc(-c3ccc(C#N)cc3)nc(-c3ccco3)c2)cc1,10000.0
CHEMBL4243878,N#Cc1ccc(-c2cc(-c3ccc(-c4nnn[nH]4)cc3)cc(-c3ccco3)n2)cc1,2000.0
CHEMBL4248116,c1coc(-c2cc(-c3nccs3)cc(-c3ccc(-c4nccs4)cc3)n2)c1,100000.0
CHEMBL4240109,N#Cc1ccc(-c2cc(-c3ccccc3)cc(-c3ccco3)n2)cc1,5000.0
CHEMBL4237402,NC(=O)c1ccc(-c2cc(-c3ccc(-c4cnco4)cc3)nc(-c3ccco3)c2)cc1,2500.0
CHEMBL4249055,NC(=O)c1ccc(-c2cc(-c3ccc(-c4nccs4)cc3)nc(-c3ccco3)c2)cc1,5000.0
CHEMBL4244986,Cn1nncc1-c1cc(-c2ccc(C(N)=O)cc2)cc(-c2ccc(C#N)cc2)n1,40000.0
CHEMBL4245253,Cn1ccnc1-c1cc(-c2ccc(C(N)=O)cc2)cc(-c2ccc(C#N)cc2)n1,40000.0
CHEMBL4241092,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3cnco3)n2)cc1,100000.0
CHEMBL4247460,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3cncs3)n2)cc1,30000.0
CHEMBL4240401,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3ccco3)n2)cc1,3000.0
CHEMBL4238599,NC(=O)c1ccc(-c2cc(-c3ccc([N+](=O)[O-])cc3)nc(-c3ccco3)c2)cc1,1000.0
