,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL1336889,O=C(O)c1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1,inactive,300.23,2.5728,2.0,7.0,4.481486060122112
1,CHEMBL2312756,O=[N+]([O-])c1ccc(Nc2ccccc2-c2ccccc2)c2nonc12,inactive,332.3190000000001,4.5416000000000025,1.0,6.0,3.835647144215563
2,CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,inactive,228.247,2.9738000000000016,3.0,3.0,4.221848749616356
3,CHEMBL1172104,COc1cc(/C=C\c2ccc(OC)c(OC)c2)cc(OC)c1,inactive,300.35400000000004,3.8914000000000026,0.0,4.0,4.221848749616356
4,CHEMBL3222133,CC(C)c1ccc(/C=C2\SC(=S)N(CN3CCCCC3)C2=O)cc1,inactive,360.5480000000002,4.454600000000004,0.0,4.0,4.5376020021010435
5,CHEMBL4242611,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3cc[n+]([O-])cc3)n2)cc1,inactive,393.40600000000006,3.0815800000000007,1.0,5.0,4.0
6,CHEMBL4248050,COc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3ccccc3)n2)cc1,inactive,381.43500000000006,4.585100000000003,1.0,4.0,4.0
7,CHEMBL4248559,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)nc(-c3ccco3)n2)cc1,intermediate,366.38000000000005,4.0411800000000015,1.0,5.0,5.154901959985743
8,CHEMBL4243533,N#Cc1cc(-c2ccc(C(N)=O)cc2)ccn1,inactive,223.23499999999999,1.7191799999999997,1.0,3.0,5.0
9,CHEMBL4250683,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3cccc(F)c3)n2)cc1,inactive,393.42100000000005,5.192280000000003,1.0,3.0,4.0
10,CHEMBL4240576,N#Cc1ccc(-c2cc(-c3ccc(C(=O)NN)cc3)cc(-c3ccco3)n2)cc1,inactive,380.4070000000001,4.150780000000002,2.0,5.0,4.0
11,CHEMBL4246868,CS(=O)(=O)NC(=O)c1ccc(-c2cc(-c3ccc(C#N)cc3)nc(-c3ccco3)c2)cc1,inactive,443.48400000000015,4.236680000000003,1.0,6.0,5.0
12,CHEMBL4243878,N#Cc1ccc(-c2cc(-c3ccc(-c4nnn[nH]4)cc3)cc(-c3ccco3)n2)cc1,intermediate,390.4060000000001,4.727380000000003,1.0,6.0,5.698970004336019
